"","SRR11647688","SRR11647689","SRR11647690","SRR11647699","SRR11647700","SRR11647701"
"ENSG00000000003.17",10.0525815159244,10.5652602798706,9.89875086358113,8.57210838612107,8.63491615156456,8.85928480899294
"ENSG00000000419.15",8.76767873028677,8.6574302308676,8.50728691373691,9.54306510654551,9.06036396226294,9.63751629954122
"ENSG00000000457.15",7.9361732724588,8.08433443634355,7.74548673279418,7.54649474041061,7.59139184505182,7.87518102154159
"ENSG00000000460.18",7.02508243663809,6.42260708247613,6.67496495590531,7.38753881801416,6.9565391292761,7.72537019921755
"ENSG00000000938.14",6.58767636894531,6.97649260370388,7.40037165320939,7.74918813557952,7.32910471658507,7.62045509005524
"ENSG00000000971.18",8.35664750664973,9.19367526743993,9.20720907106217,8.41361420419612,8.51070342488093,6.95331488287368
"ENSG00000001036.15",8.3021964676167,9.27683869522372,9.32712892432077,9.37528061832339,9.71802835141244,8.65034246736331
"ENSG00000001084.14",10.0600330981378,9.29746910199489,9.29057099599,10.2807865596011,9.71259351336737,9.84500239936017
"ENSG00000001167.16",9.09851804814229,8.33633512356712,8.7321408085322,9.22072975867657,10.1705491469123,9.56055282728813
"ENSG00000001460.19",6.94814433970699,7.25038503470599,6.81471691710024,6.63498677766425,7.1443640912813,8.58608428781614
"ENSG00000001461.20",9.5958111577728,9.94322464566212,9.67428187464707,8.28541953164496,9.35376967911073,9.93581735127649
"ENSG00000001497.19",8.79298443124859,8.52350631791441,8.44197137416776,8.60109183929601,8.7703430687304,8.95871558257468
"ENSG00000001561.8",7.77771008812778,8.79613559401994,7.75227534036101,7.84973520636328,6.708929753809,6.6466549042552
"ENSG00000001617.13",9.90149277148699,9.60934188429547,9.79169938407327,8.6259809078026,8.90685867000544,9.60892224924932
"ENSG00000001626.19",6.63838884822557,8.60682310499204,6.17975667654522,4.63239926894253,4.31581963786253,5.85239588134196
"ENSG00000001629.11",10.1310900219217,9.81879255590856,9.55417001389285,10.3852481876937,9.51026735638927,9.59869320112066
"ENSG00000001630.19",5.54652703435292,5.4878726244903,5.16051276382593,5.25100575812387,5.29317081467632,5.12506320597562
"ENSG00000001631.18",7.69517990243049,7.61085240661111,7.65414127532917,7.47717778500622,7.70625253383296,7.58600633526274
"ENSG00000002016.19",7.70288440622398,7.61085240661111,8.1715497183322,7.35346913307274,7.72814717132428,7.30094139650293
"ENSG00000002330.15",6.83833077990768,8.81217011309685,8.80206258966463,8.29876801871916,9.06036396226294,7.81120245029528
"ENSG00000002549.14",9.84739321462182,9.51269750374904,9.99130163092299,10.0459890430328,9.76953468117679,9.18994600748006
"ENSG00000002587.11",8.39970804829461,7.87950956560741,7.63954991071973,6.86216192525424,6.49662068030725,6.77777362455207
"ENSG00000002726.22",6.03734008324145,5.09488331627342,6.17975667654522,4.31581963786253,5.56267237943159,5.79907913887737
"ENSG00000002745.13",5.19884119707719,4.7692290120933,5.16051276382593,5.38971983784604,4.64714037459381,4.31581963786253
"ENSG00000002746.16",5.25779189908699,5.02841101434837,5.49447805494638,7.44523954598529,6.28541239407858,6.47008466287804
"ENSG00000002834.20",10.3216780395112,10.7798507706112,10.5762426741174,11.5043617834435,11.0448676847046,11.0684844366791
"ENSG00000002919.16",7.61573643845161,8.22070515353769,8.11494517889698,7.81285933745698,8.24975231576656,7.46215812131634
"ENSG00000002933.10",8.53455982080238,8.84682867348842,9.47901397727073,10.0874486372898,10.1084642657222,8.9153707155522
"ENSG00000003056.9",8.96183855555128,8.32742085431665,8.27375786749379,8.71813229414155,8.67652901428319,8.41743959922854
"ENSG00000003096.16",7.84183736438948,7.47102629795833,7.4846917400969,5.91173924974132,7.36703774546223,6.81474280545211
"ENSG00000003137.9",6.98715213418123,5.90676868673705,6.15796491077217,6.70587578260575,7.1661443470376,6.5465483071316
"ENSG00000003147.20",8.68124584198057,9.13628642369284,8.26433245597221,6.62034546852789,6.8383728487255,6.61881546676152
"ENSG00000003249.16",8.10215472358188,8.52350631791441,8.1715497183322,6.56010897511347,6.44235613469362,7.42355736677926
"ENSG00000003393.17",8.76036590117526,8.37577651979037,8.74910014456533,8.82020440398354,8.94138153797882,8.71184724614978
"ENSG00000003400.17",8.8933191305248,8.24459087522618,8.94133649590305,8.00477893666277,7.94281669924694,8.36190980861786
"ENSG00000003402.22",11.9170561303499,11.1184856402293,11.1702612737762,10.6081159041509,10.6226887996297,10.7045709916677
"ENSG00000003436.17",9.33080564497774,8.98050564354224,9.46267936619293,8.29876801871916,8.28937320998197,7.64072835548779
"ENSG00000003509.17",7.89650707796759,7.79764856105913,8.14609809061616,8.10457991810303,8.59994851873077,8.00552126695311
"ENSG00000003756.18",10.9108672087484,10.2153347620627,10.1347490987233,10.1039568505949,9.499785961369,9.74189542280166
"ENSG00000003987.15",6.57033179014546,6.27322710988555,5.91536575954591,5.98698657333496,6.32648806852429,6.60467405652518
"ENSG00000003989.19",9.47163203883759,8.73351829047701,8.63693008584507,6.28685414421145,6.19902057557885,5.90332181763431
"ENSG00000004059.12",9.84739321462182,10.3006354686471,10.3913187037329,10.1351817741892,10.6110562578523,9.59869320112066
"ENSG00000004139.15",6.49857727964609,6.77604021879352,6.56766043353981,6.22843644316306,5.95207828976549,5.99892171730197
"ENSG00000004142.13",9.53505919473868,9.74230866382372,9.85562934874546,9.54306510654551,10.0735664925551,9.61400966870402
"ENSG00000004399.14",8.91980820775532,9.37500106847313,9.72137365191434,10.1825812340955,10.4198343254817,9.50686044673273
"ENSG00000004455.19",10.6044717241435,10.3897291655159,10.5781382449001,10.2941273458988,11.0347454857884,10.8674290876109
